accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.9548737406730652,0.8200212717056274,0.15947504341602325,0.9563889503479004,0.9976742267608643,0.9666692018508911,0.9074281454086304,0.11742780357599258,0.9666248559951782,0.9991791844367981,2.9999999242136255e-05
0.9653434753417969,0.893907368183136,0.12279710918664932,0.9671915769577026,0.9970980286598206,0.9746316075325012,0.9353278279304504,0.09344223141670227,0.9746858477592468,0.9990649223327637,2.9999999242136255e-05
0.9707235097885132,0.9202347993850708,0.10569262504577637,0.9725303053855896,0.9971411228179932,0.9767252206802368,0.9453073143959045,0.08555613458156586,0.9768611788749695,0.9989993572235107,2.9999999242136255e-05
0.9727182984352112,0.9292325377464294,0.09924835711717606,0.9743573665618896,0.9973375201225281,0.9778236746788025,0.9504954814910889,0.0825480967760086,0.9779016375541687,0.9990770220756531,2.9999999242136255e-05
0.9738278985023499,0.9333502054214478,0.09590008109807968,0.9753053784370422,0.9975231289863586,0.9784228205680847,0.9528336524963379,0.08070793002843857,0.9784128665924072,0.9991804361343384,2.9999999242136255e-05
0.974592924118042,0.9360367059707642,0.09369496256113052,0.9759331941604614,0.9976797103881836,0.9787470698356628,0.9533249735832214,0.07931584119796753,0.9786938428878784,0.9992319345474243,2.9999999242136255e-05
0.9750779271125793,0.9378300309181213,0.09220627695322037,0.9763503074645996,0.9977588653564453,0.9789296984672546,0.9540003538131714,0.0784710943698883,0.9788673520088196,0.9992448091506958,2.9999999242136255e-05
0.9754218459129333,0.9396618604660034,0.0909615233540535,0.9766479134559631,0.9978131651878357,0.979134738445282,0.9545828104019165,0.07777184993028641,0.9788748621940613,0.9994588494300842,2.9999999242136255e-05
0.9757538437843323,0.940549373626709,0.09011119604110718,0.976914644241333,0.9978877902030945,0.9792022705078125,0.9554964900016785,0.07712559401988983,0.9790530204772949,0.999342143535614,2.9999999242136255e-05
0.975916862487793,0.9412776231765747,0.08959250152111053,0.9770756959915161,0.9978922605514526,0.979331374168396,0.9558582305908203,0.07699248194694519,0.9790380597114563,0.9994978904724121,2.9999999242136255e-05
0.9760422706604004,0.9418883919715881,0.08923222124576569,0.977177083492279,0.9979198575019836,0.9794665575027466,0.9564697742462158,0.07683286815881729,0.9792048931121826,0.9994664788246155,2.9999999242136255e-05
0.9760280251502991,0.9421881437301636,0.08917953819036484,0.9771968126296997,0.9978832602500916,0.9795318841934204,0.9551661014556885,0.0769127607345581,0.9792622327804565,0.9994761347770691,2.9999999242136255e-05
0.9761415123939514,0.942441999912262,0.08894401043653488,0.9772709608078003,0.9979270696640015,0.9795265197753906,0.9565901160240173,0.07639656960964203,0.9792704582214355,0.9994616508483887,2.9999999242136255e-05
0.9763287901878357,0.9431591033935547,0.08837248384952545,0.9774202704429626,0.9979705214500427,0.9795907139778137,0.9563120007514954,0.07639516144990921,0.9793353080749512,0.9994620680809021,2.9999999242136255e-05
0.9763927459716797,0.9435458183288574,0.08817750215530396,0.9774920344352722,0.9979631900787354,0.9795607328414917,0.956486165523529,0.07624831050634384,0.9793675541877747,0.9993952512741089,2.9999999242136255e-05
0.9764243960380554,0.9438496232032776,0.08809719979763031,0.9775242805480957,0.997963011264801,0.9795106053352356,0.9569330811500549,0.07623586803674698,0.9792704582214355,0.9994443655014038,2.9999999242136255e-05
0.9765034914016724,0.9442652463912964,0.08788318932056427,0.9775863885879517,0.9979824423789978,0.9796757698059082,0.9580627679824829,0.07584108412265778,0.9794263243675232,0.9994572401046753,2.9999999242136255e-05
0.9764888882637024,0.9445627331733704,0.08784276992082596,0.977571427822113,0.9979826211929321,0.9796392917633057,0.9588151574134827,0.07564877718687057,0.9794490337371826,0.9993936419487,2.9999999242136255e-05
0.9765630960464478,0.9446684718132019,0.08769430965185165,0.9776313304901123,0.9979990720748901,0.9796123504638672,0.9589093923568726,0.0756181925535202,0.979369044303894,0.999449610710144,2.9999999242136255e-05
0.9766549468040466,0.944939136505127,0.08748604357242584,0.9776962399482727,0.998029351234436,0.9797942042350769,0.9594467878341675,0.07517952471971512,0.9794663190841675,0.9995429515838623,2.9999999242136255e-05
0.9766648411750793,0.9448665976524353,0.08752674609422684,0.97771155834198,0.9980236291885376,0.9795941114425659,0.9593029618263245,0.07543621212244034,0.9792620539665222,0.9995437264442444,2.9999999242136255e-05
0.9766639471054077,0.9449813961982727,0.08750781416893005,0.9777036309242249,0.9980311393737793,0.979688286781311,0.9598528742790222,0.07491057366132736,0.9794285297393799,0.9994685053825378,2.9999999242136255e-05
0.9767105579376221,0.9452256560325623,0.08744274824857712,0.9777422547340393,0.9980404376983643,0.9795698523521423,0.9591612815856934,0.07546168565750122,0.9792713522911072,0.9995075464248657,2.9999999242136255e-05
0.9768741726875305,0.9456160068511963,0.08696142584085464,0.9779061079025269,0.9980428814888,0.9796290397644043,0.9592862725257874,0.07491066306829453,0.9793546795845032,0.9994829893112183,2.9999999242136255e-05
0.9770358204841614,0.946262538433075,0.08643791079521179,0.9780593514442444,0.9980545043945312,0.9798340797424316,0.9589013457298279,0.07420928031206131,0.9794947504997253,0.9995558261871338,1.4999999621068127e-05
0.9771175980567932,0.9470253586769104,0.08606449514627457,0.9781489372253418,0.9980475306510925,0.9798428416252136,0.9597707986831665,0.07344502955675125,0.9795387983322144,0.9995183944702148,1.4999999621068127e-05
0.9771841764450073,0.9478234052658081,0.08561967313289642,0.9782634377479553,0.997997522354126,0.9799662232398987,0.9601601362228394,0.07265786826610565,0.9796915650367737,0.999489426612854,1.4999999621068127e-05
0.9772910475730896,0.9483241438865662,0.0852525383234024,0.978385865688324,0.9979828596115112,0.9798941016197205,0.9605394601821899,0.07222792506217957,0.9796283841133118,0.9994785785675049,1.4999999621068127e-05
0.9773508310317993,0.9487264156341553,0.08493147045373917,0.978459358215332,0.9979693293571472,0.9798603057861328,0.9607452154159546,0.07254379987716675,0.979533851146698,0.9995425343513489,1.4999999621068127e-05
0.9773897528648376,0.9489121437072754,0.08491690456867218,0.9784911870956421,0.9979774951934814,0.9799916744232178,0.9621835350990295,0.072056844830513,0.9798177480697632,0.9993827939033508,1.4999999621068127e-05
0.9773081541061401,0.9487650990486145,0.08515992015600204,0.9784138798713684,0.9979714751243591,0.9798716902732849,0.9632217288017273,0.0721973180770874,0.9795942306518555,0.9994906187057495,1.4999999621068127e-05
0.9773249626159668,0.9488130807876587,0.08512857556343079,0.9784151315689087,0.9979884028434753,0.9800000190734863,0.9622104167938232,0.07213348150253296,0.9798406362533569,0.9993675351142883,1.4999999621068127e-05
0.9774034023284912,0.949062705039978,0.08498632907867432,0.9784782528877258,0.9980061650276184,0.9800485968589783,0.9622216820716858,0.07185269892215729,0.9797890782356262,0.9994749426841736,7.499999810534064e-06
0.9774665832519531,0.9490257501602173,0.0848589763045311,0.9785321354866028,0.9980170726776123,0.9799920320510864,0.9622291922569275,0.07189539819955826,0.9797242879867554,0.9994825720787048,7.499999810534064e-06
0.9775463938713074,0.9493110179901123,0.08473080396652222,0.9786033630371094,0.9980276823043823,0.9800554513931274,0.9621654748916626,0.07176288217306137,0.9797543883323669,0.9995191693305969,7.499999810534064e-06
0.9776067137718201,0.9493553042411804,0.08464709669351578,0.9786320924758911,0.9980624318122864,0.9810023903846741,0.9619619846343994,0.07181303203105927,0.9807547330856323,0.9994813799858093,3.749999905267032e-06
0.9775727987289429,0.9493153095245361,0.0846462994813919,0.9786209464073181,0.9980376362800598,0.9801097512245178,0.9620813131332397,0.07176298648118973,0.979819118976593,0.9995091557502747,3.749999905267032e-06
0.9776206016540527,0.9494173526763916,0.08453333377838135,0.9786638021469116,0.9980436563491821,0.9800820350646973,0.9618809819221497,0.07187453657388687,0.9798022508621216,0.9994970560073853,1.874999952633516e-06
0.9775795936584473,0.9493808746337891,0.08466547727584839,0.978617250919342,0.9980488419532776,0.9801101088523865,0.9615893363952637,0.07187052816152573,0.9798384308815002,0.9994890093803406,1.874999952633516e-06
